Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Dairy Products,Belgium, Robusta , Medium ,763.35, $2.73 , $10.92 ," $7,938.84 ", $555.72 ," $7,383.12 "," $1,984.71 "," $4,152.62 ",01/02/2022,2, February ,2022
Dairy Products,United States of America, Robusta , Medium ,1978.2, $2.73 , $10.92 ," $20,573.28 "," $1,440.13 "," $19,133.15 "," $5,143.32 "," $10,761.41 ",01/08/2022,8, August ,2022
Dairy Products,Belgium, Typica , Medium ,2457, $4.55 , $10.92 ," $25,552.80 "," $1,788.70 "," $23,764.10 "," $6,388.20 "," $13,366.08 ",01/01/2022,1, January ,2022
Dairy Products,Japan, Typica , Medium ,2459.1, $4.55 , $10.92 ," $25,574.64 "," $1,790.22 "," $23,784.42 "," $6,393.66 "," $13,377.50 ",01/11/2022,11, November ,2022
Snacks,United States of America, Bourbon , Medium ,1325.1, $109.20 , $13.65 ," $17,226.30 "," $1,205.84 "," $16,020.46 "," $11,484.20 "," $3,489.43 ",01/05/2022,5, May ,2022
Beverages,United States of America, Bourbon , Medium ,1191.75, $109.20 , $6.37 ," $7,229.95 ", $506.10 ," $6,723.85 "," $5,164.25 "," $1,199.70 ",01/06/2022,6, June ,2022
Beverages,China, Bourbon , Medium ,574.35, $109.20 , $6.37 ," $3,484.39 ", $243.91 ," $3,240.48 "," $2,488.85 ", $578.18 ,01/11/2022,11, November ,2022
Beverages,United States of America, Bourbon , Medium ,1661.1, $109.20 , $6.37 ," $10,077.34 ", $705.41 ," $9,371.93 "," $7,198.10 "," $1,672.17 ",01/12/2022,12, December ,2022
Dairy Products,Japan, Arabica , Medium ,1825.425, $227.50 , $10.92 ," $18,984.42 "," $1,328.91 "," $17,655.51 "," $4,746.11 "," $9,930.31 ",01/04/2022,4, April ,2022
Beverages,United States of America, Arabica , Medium ,1661.1, $227.50 , $6.37 ," $10,077.34 ", $705.41 ," $9,371.93 "," $7,198.10 "," $1,672.17 ",01/12/2022,12, December ,2022
Beverages,United States of America, Caturra , Medium ,1191.75, $236.60 , $6.37 ," $7,229.95 ", $506.10 ," $6,723.85 "," $5,164.25 "," $1,199.70 ",01/06/2022,6, June ,2022
Beverages,China, Robusta , Medium ,1849.05, $2.73 , $318.50 ," $560,878.50 "," $39,261.50 "," $521,617.01 "," $416,652.60 "," $80,741.85 ",01/03/2022,3, March ,2022
Frozen Foods,Japan, Robusta , Medium ,470.4, $2.73 , $273.00 ," $122,304.00 "," $8,561.28 "," $113,742.72 "," $101,920.00 "," $9,094.40 ",01/06/2022,6, June ,2022
Frozen Foods,Japan, Robusta , Medium ,2290.05, $2.73 , $273.00 ," $595,413.00 "," $41,678.91 "," $553,734.09 "," $496,177.50 "," $44,274.30 ",01/10/2022,10, October ,2022
Beverages,Japan, Typica , Medium ,2074.8, $4.55 , $18.20 ," $35,963.20 "," $2,517.42 "," $33,445.78 "," $17,981.60 "," $11,895.52 ",01/10/2022,10, October ,2022
Frozen Foods,Japan, Typica , Medium ,2290.05, $4.55 , $273.00 ," $595,413.00 "," $41,678.91 "," $553,734.09 "," $496,177.50 "," $44,274.30 ",01/10/2022,10, October ,2022
Frozen Foods,United States of America, Blue Mountain Coffee , Medium ,1787.1, $9.10 , $273.00 ," $464,646.00 "," $32,525.22 "," $432,120.78 "," $387,205.00 "," $34,550.60 ",01/05/2022,5, May ,2022
Frozen Foods,Japan, Blue Mountain Coffee , Medium ,470.4, $9.10 , $273.00 ," $122,304.00 "," $8,561.28 "," $113,742.72 "," $101,920.00 "," $9,094.40 ",01/06/2022,6, June ,2022
Packaged and Prepared Foods,Switzerland, Blue Mountain Coffee , Medium ,3688.65, $9.10 , $113.75 ," $399,603.75 "," $27,972.26 "," $371,631.49 "," $383,619.60 "," $(9,221.63)",01/07/2022,7, July ,2022
Snacks,Japan, Blue Mountain Coffee , Medium ,2206.05, $9.10 , $13.65 ," $28,678.65 "," $2,007.51 "," $26,671.14 "," $19,119.10 "," $5,809.27 ",01/08/2022,8, August ,2022
Beverages,Japan, Blue Mountain Coffee , Medium ,1611.75, $9.10 , $18.20 ," $27,937.00 "," $1,955.59 "," $25,981.41 "," $13,968.50 "," $9,240.70 ",01/09/2022,9, September ,2022
Frozen Foods,Japan, Bourbon , Medium ,1741.95, $109.20 , $273.00 ," $452,907.00 "," $31,703.49 "," $421,203.51 "," $377,422.50 "," $33,677.70 ",01/07/2022,7, July ,2022
Beverages,Belgium, Bourbon , Medium ,639.45, $109.20 , $18.20 ," $11,083.80 ", $775.87 ," $10,307.93 "," $5,541.90 "," $3,666.18 ",01/08/2022,8, August ,2022
Packaged and Prepared Foods,Switzerland, Bourbon , Medium ,2191.35, $109.20 , $113.75 ," $237,396.25 "," $16,617.74 "," $220,778.51 "," $227,900.40 "," $(5,478.38)",01/09/2022,9, September ,2022
Beverages,Japan, Bourbon , Medium ,2074.8, $109.20 , $18.20 ," $35,963.20 "," $2,517.42 "," $33,445.78 "," $17,981.60 "," $11,895.52 ",01/10/2022,10, October ,2022
Frozen Foods,China, Bourbon , Medium ,1440.6, $109.20 , $273.00 ," $374,556.00 "," $26,218.92 "," $348,337.08 "," $312,130.00 "," $27,851.60 ",01/12/2022,12, December ,2022
Dairy Products,United States of America, Arabica , Medium ,3406.725, $227.50 , $10.92 ," $35,429.94 "," $2,480.10 "," $32,949.84 "," $8,857.49 "," $18,532.58 ",01/01/2022,1, January ,2022
Frozen Foods,Japan, Arabica , Medium ,1006.95, $227.50 , $273.00 ," $261,807.00 "," $18,326.49 "," $243,480.51 "," $218,172.50 "," $19,467.70 ",01/02/2022,2, February ,2022
Frozen Foods,Belgium, Arabica , Medium ,2884.35, $227.50 , $273.00 ," $749,931.00 "," $52,495.17 "," $697,435.83 "," $624,942.50 "," $55,764.10 ",01/02/2022,2, February ,2022
Packaged and Prepared Foods,United States of America, Caturra , Medium ,1727.25, $236.60 , $113.75 ," $187,118.75 "," $13,098.31 "," $174,020.44 "," $179,634.00 "," $(4,318.13)",01/05/2022,5, May ,2022
Beverages,Japan, Caturra , Medium ,3019.8, $236.60 , $318.50 ," $916,006.00 "," $64,120.42 "," $851,885.58 "," $680,461.60 "," $131,864.60 ",01/09/2022,9, September ,2022
Beverages,United States of America, Caturra , Medium ,1173.9, $236.60 , $18.20 ," $20,347.60 "," $1,424.33 "," $18,923.27 "," $10,173.80 "," $6,730.36 ",01/11/2022,11, November ,2022
Frozen Foods,China, Caturra , Medium ,1440.6, $236.60 , $273.00 ," $374,556.00 "," $26,218.92 "," $348,337.08 "," $312,130.00 "," $27,851.60 ",01/12/2022,12, December ,2022
Beverages,United States of America, Typica , Medium ,512.4, $4.55 , $6.37 ," $3,108.56 ", $248.68 ," $2,859.88 "," $2,220.40 ", $491.90 ,01/02/2022,2, February ,2022
Beverages,China, Typica , Medium ,1346.1, $4.55 , $18.20 ," $23,332.40 "," $1,866.59 "," $21,465.81 "," $11,666.20 "," $7,538.16 ",01/06/2022,6, June ,2022
Beverages,United States of America, Blue Mountain Coffee , Medium ,269.85, $9.10 , $6.37 ," $1,637.09 ", $130.97 ," $1,506.12 "," $1,169.35 ", $259.06 ,01/05/2022,5, May ,2022
Beverages,China, Caturra , Medium ,1346.1, $236.60 , $18.20 ," $23,332.40 "," $1,866.59 "," $21,465.81 "," $11,666.20 "," $7,538.16 ",01/06/2022,6, June ,2022
Packaged and Prepared Foods,Belgium, Robusta , Medium ,1617, $2.73 , $113.75 ," $175,175.00 "," $14,014.00 "," $161,161.00 "," $168,168.00 "," $(5,390.00)",01/08/2022,8, August ,2022
Snacks,Japan, Robusta , Medium ,514.5, $2.73 , $13.65 ," $6,688.50 ", $535.08 ," $6,153.42 "," $4,459.00 "," $1,303.40 ",01/11/2022,11, November ,2022
Beverages,Belgium, Robusta , Medium ,1430.1, $2.73 , $318.50 ," $433,797.00 "," $34,703.76 "," $399,093.24 "," $322,249.20 "," $59,110.80 ",01/12/2022,12, December ,2022
Snacks,Japan, Typica , Medium ,2626.05, $4.55 , $13.65 ," $34,138.65 "," $2,731.09 "," $31,407.56 "," $22,759.10 "," $6,652.66 ",01/03/2022,3, March ,2022
Beverages,United States of America, Typica , Medium ,743.4, $4.55 , $18.20 ," $12,885.60 "," $1,030.85 "," $11,854.75 "," $6,442.80 "," $4,163.04 ",01/06/2022,6, June ,2022
Beverages,Switzerland, Typica , Medium ,677.25, $4.55 , $18.20 ," $11,739.00 ", $939.12 ," $10,799.88 "," $5,869.50 "," $3,792.60 ",01/07/2022,7, July ,2022
Frozen Foods,Japan, Typica , Medium ,1640.1, $4.55 , $273.00 ," $426,426.00 "," $34,114.08 "," $392,311.92 "," $355,355.00 "," $28,428.40 ",01/08/2022,8, August ,2022
Snacks,Switzerland, Typica , Medium ,746.55, $4.55 , $13.65 ," $9,705.15 ", $776.41 ," $8,928.74 "," $6,470.10 "," $1,891.26 ",01/12/2022,12, December ,2022
Packaged and Prepared Foods,Belgium, Blue Mountain Coffee , Medium ,1169.7, $9.10 , $113.75 ," $126,717.50 "," $10,137.40 "," $116,580.10 "," $121,648.80 "," $(3,899.00)",01/03/2022,3, March ,2022
Beverages,Switzerland, Blue Mountain Coffee , Medium ,1321.95, $9.10 , $6.37 ," $8,019.83 ", $641.59 ," $7,378.24 "," $5,728.45 "," $1,269.07 ",01/04/2022,4, April ,2022
Beverages,Switzerland, Blue Mountain Coffee , Medium ,1149.75, $9.10 , $6.37 ," $6,975.15 ", $558.01 ," $6,417.14 "," $4,982.25 "," $1,103.76 ",01/05/2022,5, May ,2022
Beverages,Switzerland, Blue Mountain Coffee , Medium ,1434.3, $9.10 , $18.20 ," $24,861.20 "," $1,988.90 "," $22,872.30 "," $12,430.60 "," $8,032.08 ",01/06/2022,6, June ,2022
Frozen Foods,Belgium, Blue Mountain Coffee , Medium ,2583, $9.10 , $273.00 ," $671,580.00 "," $53,726.40 "," $617,853.60 "," $559,650.00 "," $44,772.00 ",01/06/2022,6, June ,2022
Beverages,China, Blue Mountain Coffee , Medium ,711.9, $9.10 , $6.37 ," $4,318.86 ", $345.51 ," $3,973.35 "," $3,084.90 ", $683.42 ,01/08/2022,8, August ,2022
Beverages,Switzerland, Blue Mountain Coffee , Medium ,1677.9, $9.10 , $6.37 ," $10,179.26 ", $814.34 ," $9,364.92 "," $7,270.90 "," $1,610.78 ",01/08/2022,8, August ,2022
Beverages,Switzerland, Blue Mountain Coffee , Medium ,2030.7, $9.10 , $18.20 ," $35,198.80 "," $2,815.90 "," $32,382.90 "," $17,599.40 "," $11,371.92 ",01/09/2022,9, September ,2022
Beverages,Belgium, Blue Mountain Coffee , Medium ,3142.65, $9.10 , $18.20 ," $54,472.60 "," $4,357.81 "," $50,114.79 "," $27,236.30 "," $17,598.84 ",01/09/2022,9, September ,2022
Beverages,Belgium, Blue Mountain Coffee , Medium ,1430.1, $9.10 , $318.50 ," $433,797.00 "," $34,703.76 "," $399,093.24 "," $322,249.20 "," $59,110.80 ",01/12/2022,12, December ,2022
Dairy Products,United States of America, Bourbon , Medium ,627.9, $109.20 , $10.92 ," $6,530.16 ", $522.41 ," $6,007.75 "," $1,632.54 "," $3,365.54 ",01/03/2022,3, March ,2022
Beverages,China, Bourbon , Medium ,3052.35, $109.20 , $6.37 ," $18,517.59 "," $1,481.41 "," $17,036.18 "," $13,226.85 "," $2,930.26 ",01/06/2022,6, June ,2022
Beverages,Switzerland, Bourbon , Medium ,2454.9, $109.20 , $6.37 ," $14,893.06 "," $1,191.44 "," $13,701.62 "," $10,637.90 "," $2,356.70 ",01/06/2022,6, June ,2022
Frozen Foods,Belgium, Bourbon , Medium ,666.75, $109.20 , $273.00 ," $173,355.00 "," $13,868.40 "," $159,486.60 "," $144,462.50 "," $11,557.00 ",01/12/2022,12, December ,2022
Beverages,Japan, Arabica , Medium ,603.225, $227.50 , $318.50 ," $182,978.25 "," $14,638.26 "," $168,339.99 "," $135,926.70 "," $24,933.30 ",01/04/2022,4, April ,2022
Beverages,Switzerland, Arabica , Medium ,2454.9, $227.50 , $6.37 ," $14,893.06 "," $1,191.44 "," $13,701.62 "," $10,637.90 "," $2,356.70 ",01/06/2022,6, June ,2022
Beverages,Japan, Arabica , Medium ,400.05, $227.50 , $318.50 ," $121,348.50 "," $9,707.88 "," $111,640.62 "," $90,144.60 "," $16,535.40 ",01/08/2022,8, August ,2022
Beverages,Switzerland, Arabica , Medium ,443.1, $227.50 , $318.50 ," $134,407.00 "," $10,752.56 "," $123,654.44 "," $99,845.20 "," $18,314.80 ",01/08/2022,8, August ,2022
Frozen Foods,United States of America, Arabica , Medium ,2240.7, $227.50 , $273.00 ," $582,582.00 "," $46,606.56 "," $535,975.44 "," $485,485.00 "," $38,838.80 ",01/09/2022,9, September ,2022
Beverages,United States of America, Caturra , Medium ,743.4, $236.60 , $18.20 ," $12,885.60 "," $1,030.85 "," $11,854.75 "," $6,442.80 "," $4,163.04 ",01/06/2022,6, June ,2022
Beverages,China, Caturra , Medium ,3052.35, $236.60 , $6.37 ," $18,517.59 "," $1,481.41 "," $17,036.18 "," $13,226.85 "," $2,930.26 ",01/06/2022,6, June ,2022
Beverages,Switzerland, Caturra , Medium ,1434.3, $236.60 , $18.20 ," $24,861.20 "," $1,988.90 "," $22,872.30 "," $12,430.60 "," $8,032.08 ",01/06/2022,6, June ,2022
Frozen Foods,Belgium, Caturra , Medium ,2583, $236.60 , $273.00 ," $671,580.00 "," $53,726.40 "," $617,853.60 "," $559,650.00 "," $44,772.00 ",01/06/2022,6, June ,2022
Beverages,Switzerland, Caturra , Medium ,1596, $236.60 , $18.20 ," $27,664.00 "," $2,213.12 "," $25,450.88 "," $13,832.00 "," $8,937.60 ",01/11/2022,11, November ,2022
Snacks,Switzerland, Caturra , Medium ,746.55, $236.60 , $13.65 ," $9,705.15 ", $776.41 ," $8,928.74 "," $6,470.10 "," $1,891.26 ",01/12/2022,12, December ,2022
Frozen Foods,Belgium, Caturra , Medium ,666.75, $236.60 , $273.00 ," $173,355.00 "," $13,868.40 "," $159,486.60 "," $144,462.50 "," $11,557.00 ",01/12/2022,12, December ,2022
Beverages,China, Arabica , Medium ,458.325, $227.50 , $18.20 ," $7,944.30 ", $635.54 ," $7,308.76 "," $3,972.15 "," $2,566.62 ",01/07/2022,7, July ,2022
Frozen Foods,United States of America, Robusta , Medium ,1148.7, $2.73 , $273.00 ," $298,662.00 "," $26,879.58 "," $271,782.42 "," $248,885.00 "," $17,613.40 ",01/06/2022,6, June ,2022
Frozen Foods,United States of America, Typica , Medium ,3992.625, $4.55 , $273.00 ," $1,038,082.50 "," $93,427.43 "," $944,655.08 "," $865,068.75 "," $61,220.25 ",01/04/2022,4, April ,2022
Beverages,Japan, Typica , Medium ,1749.3, $4.55 , $318.50 ," $530,621.00 "," $47,755.89 "," $482,865.11 "," $394,175.60 "," $68,222.70 ",01/05/2022,5, May ,2022
Dairy Products,United States of America, Typica , Medium ,2437.05, $4.55 , $10.92 ," $25,345.32 "," $2,281.08 "," $23,064.24 "," $6,336.33 "," $12,867.62 ",01/11/2022,11, November ,2022
Packaged and Prepared Foods,China, Typica , Medium ,2936.85, $4.55 , $113.75 ," $318,158.75 "," $28,634.29 "," $289,524.46 "," $305,432.40 "," $(12,236.88)",01/12/2022,12, December ,2022
Frozen Foods,Belgium, Blue Mountain Coffee , Medium ,2693.25, $9.10 , $273.00 ," $700,245.00 "," $63,022.05 "," $637,222.95 "," $583,537.50 "," $41,296.50 ",01/01/2022,1, January ,2022
Beverages,Belgium, Blue Mountain Coffee , Medium ,2537.85, $9.10 , $318.50 ," $769,814.50 "," $69,283.31 "," $700,531.20 "," $571,862.20 "," $98,976.15 ",01/01/2022,1, January ,2022
Snacks,China, Blue Mountain Coffee , Medium ,3858.75, $9.10 , $13.65 ," $50,163.75 "," $4,514.74 "," $45,649.01 "," $33,442.50 "," $9,389.63 ",01/04/2022,4, April ,2022
Frozen Foods,United States of America, Blue Mountain Coffee , Medium ,1148.7, $9.10 , $273.00 ," $298,662.00 "," $26,879.58 "," $271,782.42 "," $248,885.00 "," $17,613.40 ",01/06/2022,6, June ,2022
Snacks,Japan, Blue Mountain Coffee , Medium ,1288.35, $9.10 , $13.65 ," $16,748.55 "," $1,507.37 "," $15,241.18 "," $11,165.70 "," $3,134.99 ",01/10/2022,10, October ,2022
Frozen Foods,Japan, Blue Mountain Coffee , Medium ,1390.2, $9.10 , $273.00 ," $361,452.00 "," $32,530.68 "," $328,921.32 "," $301,210.00 "," $21,316.40 ",01/11/2022,11, November ,2022
Packaged and Prepared Foods,China, Blue Mountain Coffee , Medium ,2936.85, $9.10 , $113.75 ," $318,158.75 "," $28,634.29 "," $289,524.46 "," $305,432.40 "," $(12,236.88)",01/12/2022,12, December ,2022
Snacks,Belgium, Bourbon , Medium ,257.25, $109.20 , $13.65 ," $3,344.25 ", $300.98 ," $3,043.27 "," $2,229.50 ", $625.98 ,01/05/2022,5, May ,2022
Frozen Foods,United States of America, Bourbon , Medium ,3983.175, $109.20 , $273.00 ," $1,035,625.50 "," $93,206.30 "," $942,419.21 "," $863,021.25 "," $61,075.35 ",01/07/2022,7, July ,2022
Beverages,Switzerland, Bourbon , Medium ,1372.35, $109.20 , $318.50 ," $416,279.50 "," $37,465.16 "," $378,814.35 "," $309,236.20 "," $53,521.65 ",01/07/2022,7, July ,2022
Packaged and Prepared Foods,United States of America, Bourbon , Medium ,595.35, $109.20 , $113.75 ," $64,496.25 "," $5,804.66 "," $58,691.59 "," $61,916.40 "," $(2,480.63)",01/09/2022,9, September ,2022
Packaged and Prepared Foods,Belgium, Bourbon , Medium ,2215.5, $109.20 , $113.75 ," $240,012.50 "," $21,601.13 "," $218,411.38 "," $230,412.00 "," $(9,231.25)",01/09/2022,9, September ,2022
Beverages,United States of America, Bourbon , Medium ,1332.45, $109.20 , $318.50 ," $404,176.50 "," $36,375.89 "," $367,800.62 "," $300,245.40 "," $51,965.55 ",01/10/2022,10, October ,2022
Dairy Products,China, Arabica , Medium ,2053.8, $227.50 , $10.92 ," $21,359.52 "," $1,922.36 "," $19,437.16 "," $5,339.88 "," $10,844.06 ",01/01/2022,1, January ,2022
Frozen Foods,Switzerland, Arabica , Medium ,2791.95, $227.50 , $273.00 ," $725,907.00 "," $65,331.63 "," $660,575.37 "," $604,922.50 "," $42,809.90 ",01/02/2022,2, February ,2022
Beverages,China, Arabica , Medium ,1419.075, $227.50 , $318.50 ," $430,452.75 "," $38,740.75 "," $391,712.00 "," $319,764.90 "," $55,343.93 ",01/04/2022,4, April ,2022
Dairy Products,Switzerland, Arabica , Medium ,924, $227.50 , $10.92 ," $9,609.60 ", $864.86 ," $8,744.74 "," $2,402.40 "," $4,878.72 ",01/05/2022,5, May ,2022
Frozen Foods,China, Arabica , Medium ,1960.35, $227.50 , $273.00 ," $509,691.00 "," $45,872.19 "," $463,818.81 "," $424,742.50 "," $30,058.70 ",01/09/2022,9, September ,2022
Snacks,Japan, Arabica , Medium ,1288.35, $227.50 , $13.65 ," $16,748.55 "," $1,507.37 "," $15,241.18 "," $11,165.70 "," $3,134.99 ",01/10/2022,10, October ,2022
Packaged and Prepared Foods,Belgium, Arabica , Medium ,920.85, $227.50 , $113.75 ," $99,758.75 "," $8,978.29 "," $90,780.46 "," $95,768.40 "," $(3,836.88)",01/11/2022,11, November ,2022
Beverages,China, Caturra , Medium ,2174.55, $236.60 , $318.50 ," $659,613.50 "," $59,365.22 "," $600,248.29 "," $489,998.60 "," $84,807.45 ",01/09/2022,9, September ,2022
Beverages,United States of America, Caturra , Medium ,1332.45, $236.60 , $318.50 ," $404,176.50 "," $36,375.89 "," $367,800.62 "," $300,245.40 "," $51,965.55 ",01/10/2022,10, October ,2022
Beverages,Belgium, Caturra , Medium ,1778.7, $236.60 , $18.20 ," $30,830.80 "," $2,774.77 "," $28,056.03 "," $15,415.40 "," $9,723.56 ",01/11/2022,11, November ,2022
Beverages,Switzerland, Robusta , Medium ,696.15, $2.73 , $18.20 ," $12,066.60 "," $1,085.99 "," $10,980.61 "," $6,033.30 "," $3,805.62 ",01/05/2022,5, May ,2022
Beverages,United States of America, Robusta , Medium ,859.95, $2.73 , $6.37 ," $5,217.03 ", $469.53 ," $4,747.50 "," $3,726.45 ", $785.42 ,01/07/2022,7, July ,2022
Dairy Products,Switzerland, Robusta , Medium ,1659, $2.73 , $10.92 ," $17,253.60 "," $1,552.82 "," $15,700.78 "," $4,313.40 "," $8,759.52 ",01/09/2022,9, September ,2022
Beverages,Belgium, Robusta , Medium ,547.05, $2.73 , $6.37 ," $3,318.77 ", $298.69 ," $3,020.08 "," $2,370.55 ", $499.64 ,01/12/2022,12, December ,2022
Beverages,China, Blue Mountain Coffee , Medium ,1021.65, $9.10 , $18.20 ," $17,708.60 "," $1,593.77 "," $16,114.83 "," $8,854.30 "," $5,585.02 ",01/03/2022,3, March ,2022
Beverages,Belgium, Blue Mountain Coffee , Medium ,1089.9, $9.10 , $18.20 ," $18,891.60 "," $1,700.24 "," $17,191.36 "," $9,445.80 "," $5,958.12 ",01/06/2022,6, June ,2022
Beverages,Switzerland, Blue Mountain Coffee , Medium ,378, $9.10 , $6.37 ," $2,293.20 ", $206.39 ," $2,086.81 "," $1,638.00 ", $345.24 ,01/10/2022,10, October ,2022
Dairy Products,Japan, Bourbon , Medium ,2065.35, $109.20 , $10.92 ," $21,479.64 "," $1,933.17 "," $19,546.47 "," $5,369.91 "," $10,905.05 ",01/03/2022,3, March ,2022
Snacks,Belgium, Bourbon , Medium ,2759.4, $109.20 , $13.65 ," $35,872.20 "," $3,228.50 "," $32,643.70 "," $23,914.80 "," $6,714.54 ",01/04/2022,4, April ,2022
Beverages,Switzerland, Arabica , Medium ,378, $227.50 , $6.37 ," $2,293.20 ", $206.39 ," $2,086.81 "," $1,638.00 ", $345.24 ,01/10/2022,10, October ,2022
Beverages,Belgium, Arabica , Medium ,547.05, $227.50 , $6.37 ," $3,318.77 ", $298.69 ," $3,020.08 "," $2,370.55 ", $499.64 ,01/12/2022,12, December ,2022
Beverages,Belgium, Caturra , Medium ,1089.9, $236.60 , $18.20 ," $18,891.60 "," $1,700.24 "," $17,191.36 "," $9,445.80 "," $5,958.12 ",01/06/2022,6, June ,2022
Snacks,United States of America, Caturra , Medium ,1712.025, $236.60 , $13.65 ," $22,256.33 "," $2,003.07 "," $20,253.26 "," $14,837.55 "," $4,165.93 ",01/07/2022,7, July ,2022
Beverages,China, Typica , High ,2444.4, $4.55 , $6.37 ," $14,829.36 "," $1,482.94 "," $13,346.42 "," $10,592.40 "," $2,118.48 ",01/09/2022,9, September ,2022
Packaged and Prepared Foods,China, Robusta , High ,3617.775, $2.73 , $113.75 ," $391,925.63 "," $39,192.56 "," $352,733.06 "," $376,248.60 "," $(18,088.88)",01/04/2022,4, April ,2022
Beverages,China, Typica , High ,2428.65, $4.55 , $318.50 ," $736,690.50 "," $73,669.05 "," $663,021.45 "," $547,255.80 "," $89,050.50 ",01/05/2022,5, May ,2022
Snacks,Japan, Typica , High ,2175.6, $4.55 , $13.65 ," $28,282.80 "," $2,828.28 "," $25,454.52 "," $18,855.20 "," $5,076.40 ",01/12/2022,12, December ,2022
Beverages,Japan, Blue Mountain Coffee , High ,2051.7, $9.10 , $18.20 ," $35,562.80 "," $3,556.28 "," $32,006.52 "," $17,781.40 "," $10,942.40 ",01/03/2022,3, March ,2022
Frozen Foods,Belgium, Blue Mountain Coffee , High ,620.55, $9.10 , $273.00 ," $161,343.00 "," $16,134.30 "," $145,208.70 "," $134,452.50 "," $8,274.00 ",01/05/2022,5, May ,2022
Beverages,Switzerland, Blue Mountain Coffee , High ,253.05, $9.10 , $18.20 ," $4,386.20 ", $438.62 ," $3,947.58 "," $2,193.10 "," $1,349.60 ",01/10/2022,10, October ,2022
Snacks,Switzerland, Bourbon , High ,715.05, $109.20 , $13.65 ," $9,295.65 ", $929.57 ," $8,366.09 "," $6,197.10 "," $1,668.45 ",01/01/2022,1, January ,2022
Snacks,Switzerland, Bourbon , High ,535.5, $109.20 , $13.65 ," $6,961.50 ", $696.15 ," $6,265.35 "," $4,641.00 "," $1,249.50 ",01/04/2022,4, April ,2022
Snacks,China, Bourbon , High ,829.5, $109.20 , $13.65 ," $10,783.50 "," $1,078.35 "," $9,705.15 "," $7,189.00 "," $1,935.50 ",01/05/2022,5, May ,2022
Beverages,Japan, Bourbon , High ,670.95, $109.20 , $318.50 ," $203,521.50 "," $20,352.15 "," $183,169.35 "," $151,187.40 "," $24,601.50 ",01/07/2022,7, July ,2022
Packaged and Prepared Foods,China, Bourbon , High ,1675.8, $109.20 , $113.75 ," $181,545.00 "," $18,154.50 "," $163,390.50 "," $174,283.20 "," $(8,379.00)",01/09/2022,9, September ,2022
Beverages,Switzerland, Bourbon , High ,253.05, $109.20 , $18.20 ," $4,386.20 ", $438.62 ," $3,947.58 "," $2,193.10 "," $1,349.60 ",01/10/2022,10, October ,2022
Beverages,Switzerland, Bourbon , High ,2798.25, $109.20 , $6.37 ," $16,976.05 "," $1,697.61 "," $15,278.45 "," $12,125.75 "," $2,425.15 ",01/11/2022,11, November ,2022
Frozen Foods,Japan, Bourbon , High ,895.65, $109.20 , $273.00 ," $232,869.00 "," $23,286.90 "," $209,582.10 "," $194,057.50 "," $11,942.00 ",01/12/2022,12, December ,2022
Packaged and Prepared Foods,Belgium, Arabica , High ,358.05, $227.50 , $113.75 ," $38,788.75 "," $3,878.88 "," $34,909.88 "," $37,237.20 "," $(1,790.25)",01/05/2022,5, May ,2022
Snacks,Belgium, Arabica , High ,673.05, $227.50 , $13.65 ," $8,749.65 ", $874.97 ," $7,874.69 "," $5,833.10 "," $1,570.45 ",01/07/2022,7, July ,2022
Beverages,China, Arabica , High ,2947.35, $227.50 , $318.50 ," $894,029.50 "," $89,402.95 "," $804,626.55 "," $664,136.20 "," $108,069.50 ",01/08/2022,8, August ,2022
Frozen Foods,Belgium, Arabica , High ,453.6, $227.50 , $273.00 ," $117,936.00 "," $11,793.60 "," $106,142.40 "," $98,280.00 "," $6,048.00 ",01/09/2022,9, September ,2022
Packaged and Prepared Foods,United States of America, Arabica , High ,2655.45, $227.50 , $113.75 ," $287,673.75 "," $28,767.38 "," $258,906.38 "," $276,166.80 "," $(13,277.25)",01/11/2022,11, November ,2022
Packaged and Prepared Foods,China, Caturra , High ,607.95, $236.60 , $113.75 ," $65,861.25 "," $6,586.13 "," $59,275.13 "," $63,226.80 "," $(3,039.75)",01/01/2022,1, January ,2022
Beverages,United States of America, Caturra , High ,2352, $236.60 , $318.50 ," $713,440.00 "," $71,344.00 "," $642,096.00 "," $529,984.00 "," $86,240.00 ",01/02/2022,2, February ,2022
Frozen Foods,China, Caturra , High ,3142.65, $236.60 , $273.00 ," $817,089.00 "," $81,708.90 "," $735,380.10 "," $680,907.50 "," $41,902.00 ",01/03/2022,3, March ,2022
Dairy Products,United States of America, Caturra , High ,3696.525, $236.60 , $10.92 ," $38,443.86 "," $3,844.39 "," $34,599.47 "," $9,610.97 "," $19,221.93 ",01/04/2022,4, April ,2022
Beverages,Belgium, Caturra , High ,2140.95, $236.60 , $18.20 ," $37,109.80 "," $3,710.98 "," $33,398.82 "," $18,554.90 "," $11,418.40 ",01/05/2022,5, May ,2022
Dairy Products,Switzerland, Caturra , High ,2702.7, $236.60 , $10.92 ," $28,108.08 "," $2,810.81 "," $25,297.27 "," $7,027.02 "," $14,054.04 ",01/08/2022,8, August ,2022
Beverages,United States of America, Caturra , High ,742.35, $236.60 , $318.50 ," $225,179.50 "," $22,517.95 "," $202,661.55 "," $167,276.20 "," $27,219.50 ",01/09/2022,9, September ,2022
